movie_name,movie_date,movie_genre
Gladiator,2000,Drama
American History X,1998,Crime
American History X,1998,Drama
The Departed,2006,Crime
The Departed,2006,Drama
The Departed,2006,Thriller
The Usual Suspects,1995,Crime
The Usual Suspects,1995,Drama
The Usual Suspects,1995,Mystery
The Prestige,2006,Drama
The Prestige,2006,Mystery
The Prestige,2006,Sci-Fi
Whiplash,2014,Drama
Whiplash,2014,Music
Casablanca,1942,Drama
Casablanca,1942,Romance
Casablanca,1942,War
Grave of the Fireflies,1988,Animation
Grave of the Fireflies,1988,Drama
Grave of the Fireflies,1988,War
Harakiri,1962,Action
Harakiri,1962,Drama
Harakiri,1962,Mystery
The Intouchables,2011,Biography
The Intouchables,2011,Comedy
The Intouchables,2011,Drama
Modern Times,1936,Comedy
Modern Times,1936,Drama
Modern Times,1936,Romance
Once Upon a Time in the West,1968,Western
Rear Window,1954,Mystery
Rear Window,1954,Thriller
Cinema Paradiso,1988,Drama
Cinema Paradiso,1988,Romance
Alien,1979,Horror
Alien,1979,Sci-Fi
City Lights,1931,Comedy
City Lights,1931,Drama
City Lights,1931,Romance
Apocalypse Now,1979,Drama
Apocalypse Now,1979,Mystery
Apocalypse Now,1979,War
Memento,2000,Mystery
Memento,2000,Thriller
Django Unchained,2012,Drama
Django Unchained,2012,Western
Indiana Jones and the Raiders of the Lost Ark,1981,Action
Indiana Jones and the Raiders of the Lost Ark,1981,Adventure
WALL·E,2008,Animation
WALL·E,2008,Adventure
WALL·E,2008,Family
The Lives of Others,2006,Drama
The Lives of Others,2006,Mystery
The Lives of Others,2006,Thriller
Sunset Blvd.,1950,Drama
Sunset Blvd.,1950,Film-Noir
Paths of Glory,1957,Drama
Paths of Glory,1957,War
The Shining,1980,Drama
The Shining,1980,Horror
The Great Dictator,1940,Comedy
The Great Dictator,1940,Drama
The Great Dictator,1940,War
Avengers: Infinity War,2018,Action
Avengers: Infinity War,2018,Adventure
Avengers: Infinity War,2018,Sci-Fi
Witness for the Prosecution,1957,Crime
Witness for the Prosecution,1957,Drama
Witness for the Prosecution,1957,Mystery
Aliens,1986,Action
Aliens,1986,Adventure
Aliens,1986,Sci-Fi
Spider-Man: Into the Spider-Verse,2018,Animation
Spider-Man: Into the Spider-Verse,2018,Action
Spider-Man: Into the Spider-Verse,2018,Adventure
American Beauty,1999,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,War
The Dark Knight Rises,2012,Action
The Dark Knight Rises,2012,Drama
Oldboy,2003,Action
Oldboy,2003,Drama
Oldboy,2003,Mystery
Inglourious Basterds,2009,Adventure
Inglourious Basterds,2009,Drama
Inglourious Basterds,2009,War
Amadeus,1984,Biography
Amadeus,1984,Drama
Amadeus,1984,Music
Coco,2017,Animation
Coco,2017,Adventure
Coco,2017,Comedy
Toy Story,1995,Animation
Toy Story,1995,Adventure
Toy Story,1995,Comedy
Joker,2019,Crime
Joker,2019,Drama
Joker,2019,Thriller
Braveheart,1995,Biography
Braveheart,1995,Drama
Braveheart,1995,History
The Boat,1981,Drama
The Boat,1981,War
Avengers: Endgame,2019,Action
Avengers: Endgame,2019,Adventure
Avengers: Endgame,2019,Drama
Princess Mononoke,1997,Animation
Princess Mononoke,1997,Action
Princess Mononoke,1997,Adventure
Once Upon a Time in America,1984,Crime
Once Upon a Time in America,1984,Drama
Good Will Hunting,1997,Drama
Good Will Hunting,1997,Romance
Your Name.,2016,Animation
Your Name.,2016,Drama
Your Name.,2016,Fantasy
3 Idiots,2009,Comedy
3 Idiots,2009,Drama
Singin' in the Rain,1952,Comedy
Singin' in the Rain,1952,Musical
Singin' in the Rain,1952,Romance
Requiem for a Dream,2000,Drama
Toy Story 3,2010,Animation
Toy Story 3,2010,Adventure
Toy Story 3,2010,Comedy
High and Low,1963,Crime
High and Low,1963,Drama
High and Low,1963,Mystery
Capernaum,2018,Drama
Star Wars: Episode VI - Return of the Jedi,1983,Action
Star Wars: Episode VI - Return of the Jedi,1983,Adventure
Star Wars: Episode VI - Return of the Jedi,1983,Fantasy
Eternal Sunshine of the Spotless Mind,2004,Drama
Eternal Sunshine of the Spotless Mind,2004,Romance
Eternal Sunshine of the Spotless Mind,2004,Sci-Fi
2001: A Space Odyssey,1968,Adventure
2001: A Space Odyssey,1968,Sci-Fi
Reservoir Dogs,1992,Crime
Reservoir Dogs,1992,Thriller
Come and See,1985,Drama
Come and See,1985,Thriller
Come and See,1985,War
The Hunt,2012,Drama
Citizen Kane,1941,Drama
Citizen Kane,1941,Mystery
M,1931,Crime
M,1931,Mystery
M,1931,Thriller
Lawrence of Arabia,1962,Adventure
Lawrence of Arabia,1962,Biography
Lawrence of Arabia,1962,Drama
North by Northwest,1959,Action
North by Northwest,1959,Adventure
North by Northwest,1959,Mystery
Vertigo,1958,Mystery
Vertigo,1958,Romance
Vertigo,1958,Thriller
Ikiru,1952,Drama
Amélie,2001,Comedy
Amélie,2001,Romance
The Apartment,1960,Comedy
The Apartment,1960,Drama
The Apartment,1960,Romance
A Clockwork Orange,1971,Crime
A Clockwork Orange,1971,Sci-Fi
Double Indemnity,1944,Crime
Double Indemnity,1944,Drama
Double Indemnity,1944,Film-Noir
Full Metal Jacket,1987,Drama
Full Metal Jacket,1987,War
Top Gun: Maverick,2022,Action
Top Gun: Maverick,2022,Drama
Scarface,1983,Crime
Scarface,1983,Drama
Hamilton,2020,Biography
Hamilton,2020,Drama
Hamilton,2020,History
Incendies,2010,Drama
Incendies,2010,Mystery
To Kill a Mockingbird,1962,Crime
To Kill a Mockingbird,1962,Drama
Heat,1995,Action
Heat,1995,Crime
Heat,1995,Drama
The Sting,1973,Comedy
The Sting,1973,Crime
The Sting,1973,Drama
Up,2009,Animation
Up,2009,Adventure
Up,2009,Comedy
A Separation,2011,Drama
Metropolis,1927,Drama
Metropolis,1927,Sci-Fi
Taxi Driver,1976,Crime
Taxi Driver,1976,Drama
L.A. Confidential,1997,Crime
L.A. Confidential,1997,Drama
L.A. Confidential,1997,Mystery
Die Hard,1988,Action
Die Hard,1988,Thriller
Snatch,2000,Comedy
Snatch,2000,Crime
Indiana Jones and the Last Crusade,1989,Action
Indiana Jones and the Last Crusade,1989,Adventure
Bicycle Thieves,1948,Drama
Like Stars on Earth,2007,Drama
Like Stars on Earth,2007,Family
1917,2019,Action
1917,2019,Drama
1917,2019,War
Downfall,2004,Biography
Downfall,2004,Drama
Downfall,2004,History
Dangal,2016,Action
Dangal,2016,Biography
Dangal,2016,Drama
For a Few Dollars More,1965,Western
Batman Begins,2005,Action
Batman Begins,2005,Crime
Batman Begins,2005,Drama
The Kid,1921,Comedy
The Kid,1921,Drama
The Kid,1921,Family
Some Like It Hot,1959,Comedy
Some Like It Hot,1959,Music
Some Like It Hot,1959,Romance
The Father,2020,Drama
The Father,2020,Mystery
All About Eve,1950,Drama
The Wolf of Wall Street,2013,Biography
The Wolf of Wall Street,2013,Comedy
The Wolf of Wall Street,2013,Crime
Green Book,2018,Biography
Green Book,2018,Comedy
Green Book,2018,Drama
Judgment at Nuremberg,1961,Drama
Judgment at Nuremberg,1961,War
Casino,1995,Crime
Casino,1995,Drama
Ran,1985,Action
Ran,1985,Drama
Ran,1985,War
Pan's Labyrinth,2006,Drama
Pan's Labyrinth,2006,Fantasy
Pan's Labyrinth,2006,War
The Truman Show,1998,Comedy
The Truman Show,1998,Drama
There Will Be Blood,2007,Drama
Unforgiven,1992,Drama
Unforgiven,1992,Western
The Sixth Sense,1999,Drama
The Sixth Sense,1999,Mystery
The Sixth Sense,1999,Thriller
Shutter Island,2010,Mystery
Shutter Island,2010,Thriller
A Beautiful Mind,2001,Biography
A Beautiful Mind,2001,Drama
Jurassic Park,1993,Action
Jurassic Park,1993,Adventure
Jurassic Park,1993,Sci-Fi
Yojimbo,1961,Action
Yojimbo,1961,Drama
Yojimbo,1961,Thriller
The Treasure of the Sierra Madre,1948,Adventure
The Treasure of the Sierra Madre,1948,Drama
The Treasure of the Sierra Madre,1948,Western
Monty Python and the Holy Grail,1975,Adventure
Monty Python and the Holy Grail,1975,Comedy
Monty Python and the Holy Grail,1975,Fantasy
The Great Escape,1963,Adventure
The Great Escape,1963,Drama
The Great Escape,1963,History
No Country for Old Men,2007,Crime
No Country for Old Men,2007,Drama
No Country for Old Men,2007,Thriller
Spider-Man: No Way Home,2021,Action
Spider-Man: No Way Home,2021,Adventure
Spider-Man: No Way Home,2021,Fantasy
Kill Bill: Vol. 1,2003,Action
Kill Bill: Vol. 1,2003,Crime
Kill Bill: Vol. 1,2003,Drama
Rashomon,1950,Crime
Rashomon,1950,Drama
Rashomon,1950,Mystery
The Thing,1982,Horror
The Thing,1982,Mystery
The Thing,1982,Sci-Fi
Finding Nemo,2003,Animation
Finding Nemo,2003,Adventure
Finding Nemo,2003,Comedy
The Elephant Man,1980,Biography
The Elephant Man,1980,Drama
Chinatown,1974,Drama
Chinatown,1974,Mystery
Chinatown,1974,Thriller
Raging Bull,1980,Biography
Raging Bull,1980,Drama
Raging Bull,1980,Sport
V for Vendetta,2005,Action
V for Vendetta,2005,Drama
V for Vendetta,2005,Sci-Fi
Gone with the Wind,1939,Drama
Gone with the Wind,1939,Romance
Gone with the Wind,1939,War
"Lock, Stock and Two Smoking Barrels",1998,Action
"Lock, Stock and Two Smoking Barrels",1998,Comedy
"Lock, Stock and Two Smoking Barrels",1998,Crime
Inside Out,2015,Animation
Inside Out,2015,Adventure
Inside Out,2015,Comedy
Dial M for Murder,1954,Crime
Dial M for Murder,1954,Thriller
The Secret in Their Eyes,2009,Drama
The Secret in Their Eyes,2009,Mystery
The Secret in Their Eyes,2009,Romance
Howl's Moving Castle,2004,Animation
Howl's Moving Castle,2004,Adventure
Howl's Moving Castle,2004,Family
"Three Billboards Outside Ebbing, Missouri",2017,Comedy
"Three Billboards Outside Ebbing, Missouri",2017,Crime
"Three Billboards Outside Ebbing, Missouri",2017,Drama
The Bridge on the River Kwai,1957,Adventure
The Bridge on the River Kwai,1957,Drama
The Bridge on the River Kwai,1957,War
Trainspotting,1996,Drama
Prisoners,2013,Crime
Prisoners,2013,Drama
Prisoners,2013,Mystery
Warrior,2011,Action
Warrior,2011,Drama
Warrior,2011,Sport
Fargo,1996,Crime
Fargo,1996,Thriller
Gran Torino,2008,Drama
My Neighbor Totoro,1988,Animation
My Neighbor Totoro,1988,Comedy
My Neighbor Totoro,1988,Family
Catch Me If You Can,2002,Biography
Catch Me If You Can,2002,Crime
Catch Me If You Can,2002,Drama
Million Dollar Baby,2004,Drama
Million Dollar Baby,2004,Sport
Children of Heaven,1997,Drama
Children of Heaven,1997,Family
Children of Heaven,1997,Sport
Blade Runner,1982,Action
Blade Runner,1982,Drama
Blade Runner,1982,Sci-Fi
The Gold Rush,1925,Adventure
The Gold Rush,1925,Comedy
The Gold Rush,1925,Drama
Before Sunrise,1995,Drama
Before Sunrise,1995,Romance
12 Years a Slave,2013,Biography
12 Years a Slave,2013,Drama
12 Years a Slave,2013,History
Klaus,2019,Animation
Klaus,2019,Adventure
Klaus,2019,Comedy
Harry Potter and the Deathly Hallows: Part 2,2011,Adventure
Harry Potter and the Deathly Hallows: Part 2,2011,Family
Harry Potter and the Deathly Hallows: Part 2,2011,Fantasy
On the Waterfront,1954,Crime
On the Waterfront,1954,Drama
On the Waterfront,1954,Thriller
Ben-Hur,1959,Adventure
Ben-Hur,1959,Drama
Gone Girl,2014,Drama
Gone Girl,2014,Mystery
Gone Girl,2014,Thriller
The Grand Budapest Hotel,2014,Adventure
The Grand Budapest Hotel,2014,Comedy
The Grand Budapest Hotel,2014,Crime
Wild Strawberries,1957,Drama
Wild Strawberries,1957,Romance
The General,1926,Action
The General,1926,Adventure
The General,1926,Comedy
The Third Man,1949,Film-Noir
The Third Man,1949,Mystery
The Third Man,1949,Thriller
In the Name of the Father,1993,Biography
In the Name of the Father,1993,Crime
In the Name of the Father,1993,Drama
The Deer Hunter,1978,Drama
The Deer Hunter,1978,War
Barry Lyndon,1975,Adventure
Barry Lyndon,1975,Drama
Barry Lyndon,1975,War
Hacksaw Ridge,2016,Biography
Hacksaw Ridge,2016,Drama
Hacksaw Ridge,2016,History
The Wages of Fear,1953,Adventure
The Wages of Fear,1953,Drama
The Wages of Fear,1953,Thriller
Memories of Murder,2003,Crime
Memories of Murder,2003,Drama
Memories of Murder,2003,Mystery
Sherlock Jr.,1924,Action
Sherlock Jr.,1924,Comedy
Sherlock Jr.,1924,Romance
Wild Tales,2014,Comedy
Wild Tales,2014,Drama
Wild Tales,2014,Thriller
Mr. Smith Goes to Washington,1939,Comedy
Mr. Smith Goes to Washington,1939,Drama
Mad Max: Fury Road,2015,Action
Mad Max: Fury Road,2015,Adventure
Mad Max: Fury Road,2015,Sci-Fi
The Seventh Seal,1957,Drama
The Seventh Seal,1957,Fantasy
Mary and Max,2009,Animation
Mary and Max,2009,Comedy
Mary and Max,2009,Drama
How to Train Your Dragon,2010,Animation
How to Train Your Dragon,2010,Action
How to Train Your Dragon,2010,Adventure
Room,2015,Drama
Room,2015,Thriller
"Monsters, Inc.",2001,Animation
"Monsters, Inc.",2001,Adventure
"Monsters, Inc.",2001,Comedy
Jaws,1975,Adventure
Jaws,1975,Thriller
Dead Poets Society,1989,Comedy
Dead Poets Society,1989,Drama
The Big Lebowski,1998,Comedy
The Big Lebowski,1998,Crime
Tokyo Story,1953,Drama
The Passion of Joan of Arc,1928,Biography
The Passion of Joan of Arc,1928,Drama
The Passion of Joan of Arc,1928,History
Hotel Rwanda,2004,Biography
Hotel Rwanda,2004,Drama
Hotel Rwanda,2004,History
Ford v Ferrari,2019,Action
Ford v Ferrari,2019,Biography
Ford v Ferrari,2019,Drama
Rocky,1976,Drama
Rocky,1976,Sport
Platoon,1986,Drama
Platoon,1986,War
Ratatouille,2007,Animation
Ratatouille,2007,Adventure
Ratatouille,2007,Comedy
Spotlight,2015,Biography
Spotlight,2015,Crime
Spotlight,2015,Drama
The Terminator,1984,Action
The Terminator,1984,Sci-Fi
Logan,2017,Action
Logan,2017,Drama
Logan,2017,Sci-Fi
Stand by Me,1986,Adventure
Stand by Me,1986,Drama
Rush,2013,Action
Rush,2013,Biography
Rush,2013,Drama
Network,1976,Drama
Into the Wild,2007,Adventure
Into the Wild,2007,Biography
Into the Wild,2007,Drama
Before Sunset,2004,Drama
Before Sunset,2004,Romance
The Wizard of Oz,1939,Adventure
The Wizard of Oz,1939,Family
The Wizard of Oz,1939,Fantasy
Pather Panchali,1955,Drama
Groundhog Day,1993,Comedy
Groundhog Day,1993,Drama
Groundhog Day,1993,Fantasy
The Best Years of Our Lives,1946,Drama
The Best Years of Our Lives,1946,Romance
The Best Years of Our Lives,1946,War
The Exorcist,1973,Horror
The Incredibles,2004,Animation
The Incredibles,2004,Action
The Incredibles,2004,Adventure
To Be or Not to Be,1942,Comedy
To Be or Not to Be,1942,Romance
To Be or Not to Be,1942,War
La haine,1995,Crime
La haine,1995,Drama
The Battle of Algiers,1966,Drama
The Battle of Algiers,1966,War
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Adventure
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Fantasy
Hachi: A Dog's Tale,2009,Biography
Hachi: A Dog's Tale,2009,Drama
Hachi: A Dog's Tale,2009,Family
The Grapes of Wrath,1940,Drama
Jai Bhim,2021,Crime
Jai Bhim,2021,Drama
Jai Bhim,2021,Mystery
My Father and My Son,2005,Drama
My Father and My Son,2005,Family
Amores Perros,2000,Drama
Amores Perros,2000,Thriller
Rebecca,1940,Drama
Rebecca,1940,Film-Noir
Rebecca,1940,Mystery
Cool Hand Luke,1967,Crime
Cool Hand Luke,1967,Drama
The Handmaiden,2016,Drama
The Handmaiden,2016,Romance
The Handmaiden,2016,Thriller
The 400 Blows,1959,Crime
The 400 Blows,1959,Drama
The Sound of Music,1965,Biography
The Sound of Music,1965,Drama
The Sound of Music,1965,Family
It Happened One Night,1934,Comedy
It Happened One Night,1934,Romance
Persona,1966,Drama
Persona,1966,Thriller
Life of Brian,1979,Comedy
The Iron Giant,1999,Animation
The Iron Giant,1999,Action
The Iron Giant,1999,Adventure
The Help,2011,Drama
Dersu Uzala,1975,Adventure
Dersu Uzala,1975,Biography
Dersu Uzala,1975,Drama
Aladdin,1992,Animation
Aladdin,1992,Adventure
Aladdin,1992,Comedy
Gandhi,1982,Biography
Gandhi,1982,Drama
Gandhi,1982,History
Dances with Wolves,1990,Adventure
Dances with Wolves,1990,Drama
Dances with Wolves,1990,Western
Kantara,2022,Action
The Empire Strikes Back,1980,Action
Star Wars,1977,Action
Seppuku,1962,Action
Shichinin no samurai,1954,Action
Kaithi,2019,Action
Asuran,2019,Action
Sita Ramam,2022,Action
Léon,1994,Action
Vikram,2022,Action
K.G.F: Chapter 2,2022,Action
Shershaah,2021,Action
Oldeuboi,2003,Action
Mononoke-hime,1997,Animation
Raiders of the Lost Ark,1981,Action
Vikram Vedha,2017,Action
Major,2022,Action
Uri: The Surgical Strike,2019,Action
K.G.F: Chapter 1,2018,Action
Dag II,2016,Action
Baahubali 2: The Conclusion,2017,Action
Gangs of Wasseypur,2012,Action
Paan Singh Tomar,2012,Action
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,Animation
Yôjinbô,1961,Action
Everything Everywhere All at Once,2022,Action
Bajrangi Bhaijaan,2015,Action
A Wednesday,2008,Action
Hera Pheri,2000,Action
Sarfarosh,1999,Action
Sholay,1975,Action
Kakushi-toride no san-akunin,1958,Action
White Heat,1949,Action
RRR (Rise Roar Revolt),2022,Action
Arjun Reddy,2017,Action
Kaththi,2014,Action
Haider,2014,Action
Bãhubali: The Beginning,2015,Action
1 - Nenokkadine,2014,Action
Thuppakki,2012,Action
Guardians of the Galaxy,2014,Action
Blade Runner 2049,2017,Action
The Revenant,2015,Action
Tropa de Elite 2: O Inimigo Agora é Outro,2010,Action
Deadpool,2016,Action
Karthikeya 2,2022,Action
Zack Snyder's Justice League,2021,Action
Ip Man,2008,Action
Nefes: Vatan Sagolsun,2009,Action
Dune: Part One,2021,Action
Tropa de Elite,2007,Action
The Avengers,2012,Action
The Bourne Ultimatum,2007,Action
Taegukgi hwinalrimyeo,2004,Action
Casino Royale,2006,Action
Kill Bill: Vol. 2,2004,Action
Mou gaan dou,2002,Action
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,Animation
Andaz Apna Apna,1994,Action
Akira,1988,Animation
Sanjuro,1962,Action
Minnal Murali,2021,Action
Airlift,2016,Action
Baby,2015,Action
Thor: Ragnarok,2017,Action
Serbuan maut 2: Berandal,2014,Action
Vishwaroopam,2013,Action
X-Men: Days of Future Past,2014,Action
The Batman,2022,Action
Edge of Tomorrow,2014,Action
District 9,2009,Action
Star Trek,2009,Action
Letters from Iwo Jima,2006,Action
Iron Man,2008,Action
Ying xiong,2002,Action
The Bourne Identity,2002,Action
Children of Men,2006,Action
Wo hu cang long,2000,Action
Knockin' on Heaven's Door,1997,Action
Kôkaku Kidôtai,1995,Animation
The Blues Brothers,1980,Action
The Wild Bunch,1969,Action
Per un pugno di dollari,1964,Action
The Adventures of Robin Hood,1938,Action
The Gentlemen,2019,Action
Doragon bôru chô: Burorî,2018,Animation
Dunkirk,2017,Action
Rogue One,2016,Action
Captain America: Civil War,2016,Action
Star Wars: Episode VII - The Force Awakens,2015,Action
Big Hero 6,2014,Animation
Captain America: The Winter Soldier,2014,Action
How to Train Your Dragon 2,2014,Animation
Ang-ma-reul bo-at-da,2010,Action
Captain Phillips,2013,Action
Thirteen Lives,2022,Action
Chugyeokja,2008,Action
Skyfall,2012,Action
The Fighter,2010,Action
Taken,2008,Action
Drive,2011,Action
Avatar,2009,Action
Apocalypto,2006,Action
Hot Fuzz,2007,Action
Serenity,2005,Action
The Last Samurai,2003,Action
Cowboy Bebop: Tengoku no tobira,2001,Animation
Gongdong gyeongbi guyeok JSA,2000,Action
Jûbê ninpûchô,1993,Animation
The Fugitive,1993,Action
Batman: Mask of the Phantasm,1993,Animation
Dip huet seung hung,1989,Action
Predator,1987,Action
Ghostbusters,1984,Action
"Aguirre, der Zorn Gottes",1972,Action
Raazi,2018,Action
Deadpool 2,2018,Action
Mission: Impossible - Fallout,2018,Action
Udta Punjab,2016,Action
Kubo and the Two Strings,2016,Animation
Kingsman: The Secret Service,2014,Action
Ajeossi,2010,Action
The Lego Movie,2014,Animation
Star Trek Into Darkness,2013,Action
X: First Class,2011,Action
3:10 to Yuma,2007,Action
Kung fu,2004,Action
The Bourne Supremacy,2004,Action
Man on Fire,2004,Action
Black Hawk Down,2001,Action
The Count of Monte Cristo,2002,Action
Minority Report,2002,Action
The Boondock Saints,1999,Action
Training Day,2001,Action
Lola rennt,1998,Action
The Last of the Mohicans,1992,Action
Lat sau san taam,1992,Action
Star Trek II: The Wrath of Khan,1982,Action
First Blood,1982,Action
Badlands,1973,Action
The French Connection,1971,Action
Dirty Harry,1971,Action
The Dirty Dozen,1967,Action
Bonnie and Clyde,1967,Action
Goldfinger,1964,Action
The Longest Day,1962,Action
The Magnificent Seven,1960,Action
Key Largo,1948,Action
Scarface,1932,Action
Pushpa: The Rise - Part 1,2021,Action
Ölümlü Dünya,2018,Action
Ludo,2020,Action
Busanhaeng,2016,Action
Hotel Mumbai,2018,Action
Guardians of the Galaxy Vol. 2,2017,Action
Baby Driver,2017,Action
Only the Brave,2017,Action
Incredibles 2,2018,Animation
Sicario,2015,Action
Creed,2015,Action
Dawn of the Planet of the Apes,2014,Action
El cuerpo,2012,Action
Serbuan maut,2011,Action
End of Watch,2012,Action
Rise of the Planet of the Apes,2011,Action
Kick-Ass,2010,Action
Celda 211,2009,Action
Zombieland,2009,Action
Sherlock Holmes,2009,Action
United 93,2006,Action
Huo Yuan Jia,2006,Action
Kung Fu Panda,2008,Animation
Harry Potter and the Half-Blood Prince,2009,Action
300,2006,Action
Watchmen,2009,Action
Batoru rowaiaru,2000,Action
Vampire Hunter D: Bloodlust,2000,Animation
Enemy at the Gates,2001,Action
Star Wars: Episode III - Revenge of the Sith,2005,Action
The Fifth Element,1997,Action
Star Trek: First Contact,1996,Action
Die Hard: With a Vengeance,1995,Action
Falling Down,1993,Action
RoboCop,1987,Action
Lethal Weapon,1987,Action
Mad Max 2,1981,Action
Rupan sansei: Kariosutoro no shiro,1979,Animation
Escape from Alcatraz,1979,Action
The Taking of Pelham One Two Three,1974,Action
Enter the Dragon,1973,Action
Where Eagles Dare,1968,Action
Tanhaji: The Unsung Warrior,2020,Action
Upgrade,2018,Action
Mersal,2017,Action
Fury,2014,Action
The Hunger Games: Catching Fire,2013,Action
Delhi Belly,2011,Action
Waar,2013,Action
Hodejegerne,2011,Action
Jûsan-nin no shikaku,2010,Action
Yip Man 2,2010,Action
L'instinct de mort,2008,Action
Doctor Strange,2016,Action
Retfærdighedens ryttere,2020,Action
Lone Survivor,2013,Action
Source Code,2011,Action
Grindhouse,2007,Action
Dalkomhan insaeng,2005,Action
Jodhaa Akbar,2008,Action
Scott Pilgrim vs. the World,2010,Action
Munich,2005,Action
Shi mian mai fu,2004,Action
Harry Potter and the Order of the Phoenix,2007,Action
Collateral,2004,Action
Zatôichi,2003,Action
Jui kuen II,1994,Action
The Crow,1994,Action
Total Recall,1990,Action
The Hunt for Red October,1990,Action
Batman,1989,Action
Midnight Run,1988,Action
Ging chaat goo si,1985,Action
Indiana Jones and the Temple of Doom,1984,Action
The Warriors,1979,Action
Tora! Tora! Tora!,1970,Action
It's a Mad Mad Mad Mad World,1963,Action
The Guns of Navarone,1961,Action
Shang-Chi and the Legend of the Ten Rings,2021,Action
Nobody,2021,Action
Spider-Man: Far from Home,2019,Action
John Wick: Chapter 3 - Parabellum,2019,Action
John Wick: Chapter 2,2017,Action
The Last Duel,2021,Action
War for the Planet of the Apes,2017,Action
John Wick,2014,Action
Predestination,2014,Action
How to Train Your Dragon: The Hidden World,2019,Animation
Mission: Impossible - Rogue Nation,2015,Action
Spider-Man: Homecoming,2017,Action
Rurôni Kenshin: Meiji kenkaku roman tan,2012,Action
Ready Player One,2018,Action
Sherlock Holmes: A Game of Shadows,2011,Action
Samâ uôzu,2009,Animation
Looper,2012,Action
Mission: Impossible - Ghost Protocol,2011,Action
Law Abiding Citizen,2009,Action
Black Dynamite,2009,Action
Wonder Woman,2017,Action
L'ennemi public n°1,2008,Action
A History of Violence,2005,Action
Spider-Man 2,2004,Action
Open Range,2003,Action
Master and Commander: The Far Side of the World,2003,Action
X2,2003,Action
Spider-Man,2002,Action
The Rock,1996,Action
